,競走馬,馬番,種牡馬,騎手,調教師,速さ
1,ギャップオブリアル,77.3,35.0,80.0,75.0,86.4
2,ピノッキオ,85.3,31.6,100.5,91.7,88.3
3,ディーズマヌーバー,74.9,50.0,83.4,79.8,78.2
4,ロイヤルヨット,76.4,20.9,97.0,85.4,88.0
5,マルヒロキング,81.7,33.3,80.0,59.0,78.4
6,アイノウィステリア,95.9,39.7,83.4,85.4,87.5
7,メイショウポルポ,79.3,65.3,95.7,118.6,89.7
8,レストレーション,105.1,28.6,98.1,,91.6
9,ビーエイブルトゥ,81.4,60.6,81.7,133.4,82.6
10,バジガクアリア,86.2,52.5,126.2,120.4,83.2
11,プリトヴィツェ,69.9,12.4,92.0,,85.8
12,パークフォンテン,80.8,37.6,87.4,55.6,86.3
13,トゥザキングダム,42.9,52.1,80.8,20.0,84.2
14,ギンジ,82.9,28.2,93.8,,87.6
