馬番,競走馬,種牡馬,騎手,調教師
1<br>(97.1),モリノブレイク<br>(89.7),ベーカバド<br>(29.9),藤本現<br>(83.4),蛯名雄<br>(77.9)
2<br>(87.7),シャドウカンパニー<br>(92.6),スクリーンヒーロー<br>(40.1),矢野貴<br>(87.3),荒山勝<br>(159.0)
3<br>(95.3),グリーンハイパワー<br>(82.7),オルフェーヴル<br>(45.3),達城龍<br>(85.3),澤佳宏<br>(82.1)
4<br>(84.8),ダイリンウルフ<br>(93.6),ロージズインメイ<br>(52.5),真島大<br>(94.0),中道啓<br>(112.3)
5<br>(91.7),ケイティーセキトバ<br>(85.7),ヘニーヒューズ<br>(81.5),町田直<br>(91.5),岡田一<br>(68.7)
6<br>(90.6),エンドウォーニング<br>(93.4),プリサイスエンド<br>(45.3),加藤和<br>(74.8),櫻木英<br>(37.9)
7<br>(79.1),コスモギンガ<br>(77.7),ゴールドシップ<br>(13.2),江里裕<br>(nan),小野晋<br>(61.7)
8<br>(78.0),セパヌイール<br>(94.5),サウスヴィグラス<br>(88.0),笹川翼<br>(94.4),森下淳<br>(nan)
9<br>(89.9),スターズテソーロ<br>(96.4),スターリングローズ<br>(39.3),酒井忍<br>(87.4),荒山勝<br>(159.0)
10<br>(86.3),オーシャンリバー<br>(91.4),ノーザンリバー<br>(64.0),和田譲<br>(97.6),阪本一<br>(90.2)
11<br>(79.8),ザプリオレス<br>(94.7),トゥザグローリー<br>(39.3),御神訓<br>(102.6),福永敏<br>(117.0)
12<br>(72.2),リコーパイソン<br>(90.7),スマートファルコン<br>(56.4),本田重<br>(97.0),蛯名雄<br>(77.9)
13<br>(75.1),サブノアカゾナエ<br>(87.8),ロージズインメイ<br>(52.5),西啓太<br>(76.1),堀千亜<br>(89.7)
14<br>(77.2),チェリーレッド<br>(84.0),ヴァーミリアン<br>(40.1),的場文<br>(78.1),井上弘<br>(57.4)
