,データ数,中央値,平均,標準偏差
urawa_8_01_tl,398.0,49.3,49.23266331658293,0.8990274298418905
urawa_8_02_tl,372.0,49.1,49.195161290322574,1.14464802947527
urawa_8_03_tl,262.0,49.2,49.52824427480916,1.5599034653872812
urawa_8_04_tl,130.0,49.4,49.47846153846156,1.0798352311423352
urawa_13_01_tl,86.0,87.5,87.47906976744187,2.02740728541593
urawa_13_02_tl,86.0,88.2,88.46046511627907,1.7443879135348468
urawa_13_03_tl,18.0,88.0,88.1888888888889,1.750592803423656
urawa_13_04_tl,18.0,87.5,87.56666666666666,1.6153673776283446
urawa_14_01_tl,3324.0,91.9,91.91028880866456,1.827458676135629
urawa_14_02_tl,2116.0,91.9,92.02372400756136,1.9527212091034574
urawa_14_03_tl,1616.0,92.2,92.28712871287124,1.8156888137157354
urawa_14_04_tl,806.0,91.7,91.83548387096772,1.9128480802197563
urawa_15_01_tl,1684.0,98.7,98.8179334916866,1.4928067588743987
urawa_15_02_tl,1056.0,99.1,99.06553030303043,1.7088299544714387
urawa_15_03_tl,646.0,99.5,99.39876160990708,1.9629589313935911
urawa_15_04_tl,416.0,99.4,99.38413461538458,2.071164789835495
urawa_16_01_tl,148.0,104.65,104.49054054054054,1.5111529966544286
urawa_16_02_tl,98.0,105.0,105.1,1.4743161965544167
urawa_16_03_tl,64.0,103.85,103.95625000000003,1.5964121479216282
urawa_16_04_tl,22.0,105.9,105.80909090909091,1.0578095475845526
urawa_19_01_tl,0.0,,,
urawa_19_02_tl,20.0,121.6,121.56999999999998,1.5030145147599039
urawa_19_03_tl,0.0,,,
urawa_19_04_tl,0.0,,,
urawa_20_01_tl,302.0,134.5,134.55827814569537,1.9963207891373735
urawa_20_02_tl,156.0,132.85000000000002,132.45897435897436,2.9332107651661654
urawa_20_03_tl,86.0,133.3,133.0511627906977,2.5036793717880146
urawa_20_04_tl,33.0,135.7,136.0030303030303,2.06208099508798
